# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	protein_coding	GCF_000011125.1	Primary Assembly	chromosome		NC_000854.2	213	959	-						1445602	APE_RS00005	747		old_locus_tag=APE0001,APE_0001
CDS	with_protein	GCF_000011125.1	Primary Assembly	chromosome		NC_000854.2	213	959	-	WP_158298207.1	WP_158298207.1		hypothetical protein		1445602	APE_RS00005	747	248	
gene	protein_coding	GCF_000011125.1	Primary Assembly	chromosome		NC_000854.2	938	1276	-						1445577	APE_RS00010	339		old_locus_tag=APE0002,APE_0002
CDS	with_protein	GCF_000011125.1	Primary Assembly	chromosome		NC_000854.2	938	1276	-	WP_010865425.1	WP_010865425.1		helix-turn-helix transcriptional regulator		1445577	APE_RS00010	339	112	
gene	protein_coding	GCF_000011125.1	Primary Assembly	chromosome		NC_000854.2	1260	2174	-						1445578	APE_RS00015	915		old_locus_tag=APE0004,APE_0004
CDS	with_protein	GCF_000011125.1	Primary Assembly	chromosome		NC_000854.2	1260	2174	-	WP_010865426.1	WP_010865426.1		CPBP family intramembrane metalloprotease		1445578	APE_RS00015	915	304	
gene	protein_coding	GCF_000011125.1	Primary Assembly	chromosome		NC_000854.2	2270	2836	+						1445579	APE_RS00020	567		old_locus_tag=APE0006,APE_0006.1
CDS	with_protein	GCF_000011125.1	Primary Assembly	chromosome		NC_000854.2	2270	2836	+	WP_010865427.1	WP_010865427.1		hypothetical protein		1445579	APE_RS00020	567	188	
gene	protein_coding	GCF_000011125.1	Primary Assembly	chromosome		NC_000854.2	3905	5440	+						1445580	APE_RS00025	1536		old_locus_tag=APE0007,APE_0007.1
CDS	with_protein	GCF_000011125.1	Primary Assembly	chromosome		NC_000854.2	3905	5440	+	WP_010865428.1	WP_010865428.1		hypothetical protein		1445580	APE_RS00025	1536	511	
gene	protein_coding	GCF_000011125.1	Primary Assembly	chromosome		NC_000854.2	5774	6091	-						1445581	APE_RS00030	318		old_locus_tag=APE0009,APE_0009.1
CDS	with_protein	GCF_000011125.1	Primary Assembly	chromosome		NC_000854.2	5774	6091	-	WP_148678812.1	WP_148678812.1		heavy-metal-associated domain-containing protein		1445581	APE_RS00030	318	105	
gene	protein_coding	GCF_000011125.1	Primary Assembly	chromosome		NC_000854.2	6213	7754	-						1445582	APE_RS00035	1542		old_locus_tag=APE0010,APE_0010.1
CDS	with_protein	GCF_000011125.1	Primary Assembly	chromosome		NC_000854.2	6213	7754	-	WP_148679229.1	WP_148679229.1		amino acid permease		1445582	APE_RS00035	1542	513	
gene	protein_coding	GCF_000011125.1	Primary Assembly	chromosome		NC_000854.2	8071	8889	+						1445583	APE_RS00040	819		old_locus_tag=APE0011,APE_0011.1
CDS	with_protein	GCF_000011125.1	Primary Assembly	chromosome		NC_000854.2	8071	8889	+	WP_010865431.1	WP_010865431.1		class I fructose-bisphosphate aldolase family protein		1445583	APE_RS00040	819	272	
gene	protein_coding	GCF_000011125.1	Primary Assembly	chromosome		NC_000854.2	8908	9840	+						1445584	APE_RS00045	933		old_locus_tag=APE0012,APE_0012
CDS	with_protein	GCF_000011125.1	Primary Assembly	chromosome		NC_000854.2	8908	9840	+	WP_010865432.1	WP_010865432.1		carbohydrate kinase family protein		1445584	APE_RS00045	933	310	
gene	protein_coding	GCF_000011125.1	Primary Assembly	chromosome		NC_000854.2	9979	11652	+					ilvD	1445585	APE_RS00050	1674		old_locus_tag=APE0013,APE_0013.1
CDS	with_protein	GCF_000011125.1	Primary Assembly	chromosome		NC_000854.2	9979	11652	+	WP_148678813.1	WP_148678813.1		dihydroxy-acid dehydratase	ilvD	1445585	APE_RS00050	1674	557	
gene	protein_coding	GCF_000011125.1	Primary Assembly	chromosome		NC_000854.2	12387	13907	-						1445587	APE_RS00055	1521		old_locus_tag=APE0017,APE_0017.1
CDS	with_protein	GCF_000011125.1	Primary Assembly	chromosome		NC_000854.2	12387	13907	-	WP_010865434.1	WP_010865434.1		carbohydrate kinase		1445587	APE_RS00055	1521	506	
gene	protein_coding	GCF_000011125.1	Primary Assembly	chromosome		NC_000854.2	13925	15346	-						1445588	APE_RS00060	1422		old_locus_tag=APE0020,APE_0020.1
CDS	with_protein	GCF_000011125.1	Primary Assembly	chromosome		NC_000854.2	13925	15346	-	WP_148678814.1	WP_148678814.1		aminotransferase class V-fold PLP-dependent enzyme		1445588	APE_RS00060	1422	473	
gene	protein_coding	GCF_000011125.1	Primary Assembly	chromosome		NC_000854.2	15391	15909	-						1445589	APE_RS00065	519		old_locus_tag=APE0023,APE_0023.1
CDS	with_protein	GCF_000011125.1	Primary Assembly	chromosome		NC_000854.2	15391	15909	-	WP_010865436.1	WP_010865436.1		magnesium-dependent phosphatase-1		1445589	APE_RS00065	519	172	
gene	protein_coding	GCF_000011125.1	Primary Assembly	chromosome		NC_000854.2	16021	16419	-						1445590	APE_RS00070	399		old_locus_tag=APE0024,APE_0024.1
CDS	with_protein	GCF_000011125.1	Primary Assembly	chromosome		NC_000854.2	16021	16419	-	WP_010865437.1	WP_010865437.1		hypothetical protein		1445590	APE_RS00070	399	132	
gene	protein_coding	GCF_000011125.1	Primary Assembly	chromosome		NC_000854.2	16416	16823	-						1445591	APE_RS00075	408		old_locus_tag=APE0025,APE_0025.1
CDS	with_protein	GCF_000011125.1	Primary Assembly	chromosome		NC_000854.2	16416	16823	-	WP_010865438.1	WP_010865438.1		TrmB family transcriptional regulator		1445591	APE_RS00075	408	135	
gene	protein_coding	GCF_000011125.1	Primary Assembly	chromosome		NC_000854.2	16914	18800	+						1445592	APE_RS00080	1887		old_locus_tag=APE0026,APE_0026
CDS	with_protein	GCF_000011125.1	Primary Assembly	chromosome		NC_000854.2	16914	18800	+	WP_148678816.1	WP_148678816.1		hypothetical protein		1445592	APE_RS00080	1887	628	
gene	protein_coding	GCF_000011125.1	Primary Assembly	chromosome		NC_000854.2	18797	19384	+						1445593	APE_RS00085	588		old_locus_tag=APE0028,APE_0028
CDS	with_protein	GCF_000011125.1	Primary Assembly	chromosome		NC_000854.2	18797	19384	+	WP_148678817.1	WP_148678817.1		hypothetical protein		1445593	APE_RS00085	588	195	
gene	protein_coding	GCF_000011125.1	Primary Assembly	chromosome		NC_000854.2	19396	20850	+						1445594	APE_RS00090	1455		old_locus_tag=APE0031,APE_0031.1
CDS	with_protein	GCF_000011125.1	Primary Assembly	chromosome		NC_000854.2	19396	20850	+	WP_010865441.1	WP_010865441.1		MFS transporter		1445594	APE_RS00090	1455	484	
gene	protein_coding	GCF_000011125.1	Primary Assembly	chromosome		NC_000854.2	20910	22379	+						1445595	APE_RS00095	1470		old_locus_tag=APE0033,APE_0033.1
CDS	with_protein	GCF_000011125.1	Primary Assembly	chromosome		NC_000854.2	20910	22379	+	WP_010865442.1	WP_010865442.1		phosphoenolpyruvate carboxykinase		1445595	APE_RS00095	1470	489	
gene	protein_coding	GCF_000011125.1	Primary Assembly	chromosome		NC_000854.2	22824	23912	+						1445596	APE_RS00100	1089		old_locus_tag=APE0035,APE_0035.1
CDS	with_protein	GCF_000011125.1	Primary Assembly	chromosome		NC_000854.2	22824	23912	+	WP_148679230.1	WP_148679230.1		extracellular solute-binding protein		1445596	APE_RS00100	1089	362	
gene	protein_coding	GCF_000011125.1	Primary Assembly	chromosome		NC_000854.2	23927	24823	+						1445597	APE_RS00105	897		old_locus_tag=APE0038,APE_0038.1
CDS	with_protein	GCF_000011125.1	Primary Assembly	chromosome		NC_000854.2	23927	24823	+	WP_010865444.1	WP_010865444.1		sugar ABC transporter permease		1445597	APE_RS00105	897	298	
gene	protein_coding	GCF_000011125.1	Primary Assembly	chromosome		NC_000854.2	24838	25698	+						1445598	APE_RS00110	861		old_locus_tag=APE0040,APE_0040.1
CDS	with_protein	GCF_000011125.1	Primary Assembly	chromosome		NC_000854.2	24838	25698	+	WP_010865445.1	WP_010865445.1		carbohydrate ABC transporter permease		1445598	APE_RS00110	861	286	
gene	protein_coding	GCF_000011125.1	Primary Assembly	chromosome		NC_000854.2	25706	26812	+						1445599	APE_RS00115	1107		old_locus_tag=APE0043,APE_0043.1
CDS	with_protein	GCF_000011125.1	Primary Assembly	chromosome		NC_000854.2	25706	26812	+	WP_010865446.1	WP_010865446.1		ABC transporter ATP-binding protein		1445599	APE_RS00115	1107	368	
gene	protein_coding	GCF_000011125.1	Primary Assembly	chromosome		NC_000854.2	26997	28115	+					pstS	1445600	APE_RS00120	1119		old_locus_tag=APE0045,APE_0045
CDS	with_protein	GCF_000011125.1	Primary Assembly	chromosome		NC_000854.2	26997	28115	+	WP_158298208.1	WP_158298208.1		phosphate ABC transporter substrate-binding protein PstS	pstS	1445600	APE_RS00120	1119	372	
gene	protein_coding	GCF_000011125.1	Primary Assembly	chromosome		NC_000854.2	28128	29060	+					pstC	1445601	APE_RS00125	933		old_locus_tag=APE0047,APE_0047.1
CDS	with_protein	GCF_000011125.1	Primary Assembly	chromosome		NC_000854.2	28128	29060	+	WP_010865448.1	WP_010865448.1		phosphate ABC transporter permease subunit PstC	pstC	1445601	APE_RS00125	933	310	
gene	protein_coding	GCF_000011125.1	Primary Assembly	chromosome		NC_000854.2	29053	29907	+					pstA	1445603	APE_RS00130	855		old_locus_tag=APE0048,APE_0048
CDS	with_protein	GCF_000011125.1	Primary Assembly	chromosome		NC_000854.2	29053	29907	+	WP_010865449.1	WP_010865449.1		phosphate ABC transporter permease PstA	pstA	1445603	APE_RS00130	855	284	
gene	protein_coding	GCF_000011125.1	Primary Assembly	chromosome		NC_000854.2	29916	30668	+						1445604	APE_RS00135	753		old_locus_tag=APE0050,APE_0050
CDS	with_protein	GCF_000011125.1	Primary Assembly	chromosome		NC_000854.2	29916	30668	+	WP_148679231.1	WP_148679231.1		ATP-binding cassette domain-containing protein		1445604	APE_RS00135	753	250	
gene	protein_coding	GCF_000011125.1	Primary Assembly	chromosome		NC_000854.2	30668	31273	+						1445605	APE_RS00140	606		old_locus_tag=APE0051,APE_0051
CDS	with_protein	GCF_000011125.1	Primary Assembly	chromosome		NC_000854.2	30668	31273	+	WP_010865451.1	WP_010865451.1		phosphate uptake regulator PhoU		1445605	APE_RS00140	606	201	
gene	protein_coding	GCF_000011125.1	Primary Assembly	chromosome		NC_000854.2	31407	31922	-						1445606	APE_RS00145	516		old_locus_tag=APE0052,APE_0052.1
