# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	protein_coding	GCA_000020985.1	Primary Assembly	chromosome		CP001147.1	14	1387	+					cobB		THEYE_A0001	1374		
CDS	with_protein	GCA_000020985.1	Primary Assembly	chromosome		CP001147.1	14	1387	+	ACI20898.1			cobyrinic Acid a,c-diamide synthase	cobB		THEYE_A0001	1374	457	
gene	protein_coding	GCA_000020985.1	Primary Assembly	chromosome		CP001147.1	1380	2354	+							THEYE_A0002	975		
CDS	with_protein	GCA_000020985.1	Primary Assembly	chromosome		CP001147.1	1380	2354	+	ACI21630.1			hypothetical protein			THEYE_A0002	975	324	
gene	protein_coding	GCA_000020985.1	Primary Assembly	chromosome		CP001147.1	2495	2830	+							THEYE_A0003	336		
CDS	with_protein	GCA_000020985.1	Primary Assembly	chromosome		CP001147.1	2495	2830	+	ACI21761.1			sulfite reductase, dissimilatory-type gamma subunit			THEYE_A0003	336	111	
gene	protein_coding	GCA_000020985.1	Primary Assembly	chromosome		CP001147.1	2912	3430	+							THEYE_A0004	519		
CDS	with_protein	GCA_000020985.1	Primary Assembly	chromosome		CP001147.1	2912	3430	+	ACI21704.1			conserved hypothetical protein			THEYE_A0004	519	172	
gene	protein_coding	GCA_000020985.1	Primary Assembly	chromosome		CP001147.1	3456	4445	+							THEYE_A0005	990		
CDS	with_protein	GCA_000020985.1	Primary Assembly	chromosome		CP001147.1	3456	4445	+	ACI20254.1			DsrM protein			THEYE_A0005	990	329	
gene	protein_coding	GCA_000020985.1	Primary Assembly	chromosome		CP001147.1	4450	6063	+							THEYE_A0006	1614		
CDS	with_protein	GCA_000020985.1	Primary Assembly	chromosome		CP001147.1	4450	6063	+	ACI21329.1			DsrK protein			THEYE_A0006	1614	537	
gene	protein_coding	GCA_000020985.1	Primary Assembly	chromosome		CP001147.1	6065	6466	+							THEYE_A0007	402		
CDS	with_protein	GCA_000020985.1	Primary Assembly	chromosome		CP001147.1	6065	6466	+	ACI22017.1			cytochrome c family protein			THEYE_A0007	402	133	
gene	protein_coding	GCA_000020985.1	Primary Assembly	chromosome		CP001147.1	6463	7233	+							THEYE_A0008	771		
CDS	with_protein	GCA_000020985.1	Primary Assembly	chromosome		CP001147.1	6463	7233	+	ACI22163.1			tetrathionate reductase, subunit B			THEYE_A0008	771	256	
gene	protein_coding	GCA_000020985.1	Primary Assembly	chromosome		CP001147.1	7247	8437	+							THEYE_A0009	1191		
CDS	with_protein	GCA_000020985.1	Primary Assembly	chromosome		CP001147.1	7247	8437	+	ACI20761.1			polysulfide reductase, subunit C, putative			THEYE_A0009	1191	396	
gene	protein_coding	GCA_000020985.1	Primary Assembly	chromosome		CP001147.1	8544	10190	-					pyrG		THEYE_A0010	1647		
CDS	with_protein	GCA_000020985.1	Primary Assembly	chromosome		CP001147.1	8544	10190	-	ACI21608.1			CTP synthase	pyrG		THEYE_A0010	1647	548	
gene	protein_coding	GCA_000020985.1	Primary Assembly	chromosome		CP001147.1	10169	10936	-					kdsB		THEYE_A0011	768		
CDS	with_protein	GCA_000020985.1	Primary Assembly	chromosome		CP001147.1	10169	10936	-	ACI20451.1			3-deoxy-D-manno-octulosonate cytidylyltransferase	kdsB		THEYE_A0011	768	255	
gene	protein_coding	GCA_000020985.1	Primary Assembly	chromosome		CP001147.1	10969	12558	+					lnt		THEYE_A0012	1590		
CDS	with_protein	GCA_000020985.1	Primary Assembly	chromosome		CP001147.1	10969	12558	+	ACI20470.1			apolipoprotein N-acyltransferase	lnt		THEYE_A0012	1590	529	
gene	protein_coding	GCA_000020985.1	Primary Assembly	chromosome		CP001147.1	12787	13650	+							THEYE_A0013	864		
CDS	with_protein	GCA_000020985.1	Primary Assembly	chromosome		CP001147.1	12787	13650	+	ACI21887.1			peptide chain release factor 2			THEYE_A0013	864	287	
gene	protein_coding	GCA_000020985.1	Primary Assembly	chromosome		CP001147.1	13686	13805	+							THEYE_A0014	120		
CDS	with_protein	GCA_000020985.1	Primary Assembly	chromosome		CP001147.1	13686	13805	+	ACI21521.1			hypothetical protein			THEYE_A0014	120	39	
gene	protein_coding	GCA_000020985.1	Primary Assembly	chromosome		CP001147.1	13985	15301	+					dnaA		THEYE_A0015	1317		
CDS	with_protein	GCA_000020985.1	Primary Assembly	chromosome		CP001147.1	13985	15301	+	ACI20356.1			chromosomal replication initiator protein DnaA	dnaA		THEYE_A0015	1317	438	
gene	protein_coding	GCA_000020985.1	Primary Assembly	chromosome		CP001147.1	15325	16431	+					dnaN		THEYE_A0016	1107		
CDS	with_protein	GCA_000020985.1	Primary Assembly	chromosome		CP001147.1	15325	16431	+	ACI22131.1			DNA polymerase III, beta subunit	dnaN		THEYE_A0016	1107	368	
gene	protein_coding	GCA_000020985.1	Primary Assembly	chromosome		CP001147.1	16436	18715	+					gyrB		THEYE_A0017	2280		
CDS	with_protein	GCA_000020985.1	Primary Assembly	chromosome		CP001147.1	16436	18715	+	ACI20991.1			DNA gyrase, B subunit	gyrB		THEYE_A0017	2280	759	
gene	protein_coding	GCA_000020985.1	Primary Assembly	chromosome		CP001147.1	18724	19998	+					serS		THEYE_A0018	1275		
CDS	with_protein	GCA_000020985.1	Primary Assembly	chromosome		CP001147.1	18724	19998	+	ACI21024.1			seryl-tRNA synthetase	serS		THEYE_A0018	1275	424	
gene	protein_coding	GCA_000020985.1	Primary Assembly	chromosome		CP001147.1	19995	21182	+							THEYE_A0019	1188		
CDS	with_protein	GCA_000020985.1	Primary Assembly	chromosome		CP001147.1	19995	21182	+	ACI21920.1			hypothetical protein			THEYE_A0019	1188	395	
gene	protein_coding	GCA_000020985.1	Primary Assembly	chromosome		CP001147.1	21179	21445	+							THEYE_A0020	267		
CDS	with_protein	GCA_000020985.1	Primary Assembly	chromosome		CP001147.1	21179	21445	+	ACI20775.1			flagellar biosynthetic protein FlhB			THEYE_A0020	267	88	
gene	protein_coding	GCA_000020985.1	Primary Assembly	chromosome		CP001147.1	21442	22233	+					trpC		THEYE_A0021	792		
CDS	with_protein	GCA_000020985.1	Primary Assembly	chromosome		CP001147.1	21442	22233	+	ACI20642.1			indole-3-glycerol phosphate synthase	trpC		THEYE_A0021	792	263	
gene	protein_coding	GCA_000020985.1	Primary Assembly	chromosome		CP001147.1	22304	24094	+							THEYE_A0022	1791		
CDS	with_protein	GCA_000020985.1	Primary Assembly	chromosome		CP001147.1	22304	24094	+	ACI20388.1			indolepyruvate oxidoreductase subunit IorA			THEYE_A0022	1791	596	
gene	protein_coding	GCA_000020985.1	Primary Assembly	chromosome		CP001147.1	24104	24547	+							THEYE_A0023	444		
CDS	with_protein	GCA_000020985.1	Primary Assembly	chromosome		CP001147.1	24104	24547	+	ACI21486.1			indolepyruvate oxidoreductase subunit IorB			THEYE_A0023	444	147	
gene	protein_coding	GCA_000020985.1	Primary Assembly	chromosome		CP001147.1	24534	25811	+							THEYE_A0024	1278		
CDS	with_protein	GCA_000020985.1	Primary Assembly	chromosome		CP001147.1	24534	25811	+	ACI20519.1			phenylacetate-coenzyme A ligase			THEYE_A0024	1278	425	
gene	protein_coding	GCA_000020985.1	Primary Assembly	chromosome		CP001147.1	25850	26746	-							THEYE_A0025	897		
CDS	with_protein	GCA_000020985.1	Primary Assembly	chromosome		CP001147.1	25850	26746	-	ACI21871.1			universal stress protein, putative			THEYE_A0025	897	298	
gene	protein_coding	GCA_000020985.1	Primary Assembly	chromosome		CP001147.1	26757	27806	-							THEYE_A0026	1050		
CDS	with_protein	GCA_000020985.1	Primary Assembly	chromosome		CP001147.1	26757	27806	-	ACI20288.1			arsenic oxyanion-translocation pump			THEYE_A0026	1050	349	
gene	protein_coding	GCA_000020985.1	Primary Assembly	chromosome		CP001147.1	27818	28246	-							THEYE_A0027	429		
CDS	with_protein	GCA_000020985.1	Primary Assembly	chromosome		CP001147.1	27818	28246	-	ACI21685.1			conserved hypothetical protein			THEYE_A0027	429	142	
gene	protein_coding	GCA_000020985.1	Primary Assembly	chromosome		CP001147.1	28473	29459	+							THEYE_A0028	987		
CDS	with_protein	GCA_000020985.1	Primary Assembly	chromosome		CP001147.1	28473	29459	+	ACI22040.1			galactose-1-phosphate uridylyltransferase			THEYE_A0028	987	328	
gene	protein_coding	GCA_000020985.1	Primary Assembly	chromosome		CP001147.1	29534	31501	-					acsA		THEYE_A0029	1968		
CDS	with_protein	GCA_000020985.1	Primary Assembly	chromosome		CP001147.1	29534	31501	-	ACI21425.1			acetate--CoA ligase	acsA		THEYE_A0029	1968	655	
gene	protein_coding	GCA_000020985.1	Primary Assembly	chromosome		CP001147.1	31548	33086	-							THEYE_A0030	1539		
CDS	with_protein	GCA_000020985.1	Primary Assembly	chromosome		CP001147.1	31548	33086	-	ACI21779.1			cation/acetate symporter ActP			THEYE_A0030	1539	512	
gene	protein_coding	GCA_000020985.1	Primary Assembly	chromosome		CP001147.1	33089	33385	-							THEYE_A0031	297		
CDS	with_protein	GCA_000020985.1	Primary Assembly	chromosome		CP001147.1	33089	33385	-	ACI21147.1			inner membrane protein YjcH			THEYE_A0031	297	98	
gene	protein_coding	GCA_000020985.1	Primary Assembly	chromosome		CP001147.1	33397	34089	-							THEYE_A0032	693		
CDS	with_protein	GCA_000020985.1	Primary Assembly	chromosome		CP001147.1	33397	34089	-	ACI21296.1			DNA polymerase III alpha subunit			THEYE_A0032	693	230	
gene	protein_coding	GCA_000020985.1	Primary Assembly	chromosome		CP001147.1	34092	35993	-							THEYE_A0033	1902		
CDS	with_protein	GCA_000020985.1	Primary Assembly	chromosome		CP001147.1	34092	35993	-	ACI20625.1			putative nucleotidyltransferase family			THEYE_A0033	1902	633	
gene	protein_coding	GCA_000020985.1	Primary Assembly	chromosome		CP001147.1	36117	37958	-							THEYE_A0034	1842		
CDS	with_protein	GCA_000020985.1	Primary Assembly	chromosome		CP001147.1	36117	37958	-	ACI21509.1			putative nucleotidyltransferase family			THEYE_A0034	1842	613	
gene	protein_coding	GCA_000020985.1	Primary Assembly	chromosome		CP001147.1	38193	40202	-							THEYE_A0035	2010		
CDS	with_protein	GCA_000020985.1	Primary Assembly	chromosome		CP001147.1	38193	40202	-	ACI20666.1			sodium/solute symporter, putative			THEYE_A0035	2010	669	
gene	protein_coding	GCA_000020985.1	Primary Assembly	chromosome		CP001147.1	40205	40462	-							THEYE_A0036	258		
CDS	with_protein	GCA_000020985.1	Primary Assembly	chromosome		CP001147.1	40205	40462	-	ACI21540.1			membrane protein			THEYE_A0036	258	85	
gene	protein_coding	GCA_000020985.1	Primary Assembly	chromosome		CP001147.1	40474	41151	-							THEYE_A0037	678		
CDS	with_protein	GCA_000020985.1	Primary Assembly	chromosome		CP001147.1	40474	41151	-	ACI20190.1			DNA polymerase III PolC-type, putative			THEYE_A0037	678	225	
gene	protein_coding	GCA_000020985.1	Primary Assembly	chromosome		CP001147.1	41304	42539	-							THEYE_A0038	1236		
CDS	with_protein	GCA_000020985.1	Primary Assembly	chromosome		CP001147.1	41304	42539	-	ACI20188.1			oxalate/formate antiporter			THEYE_A0038	1236	411	
gene	protein_coding	GCA_000020985.1	Primary Assembly	chromosome		CP001147.1	42653	44002	-							THEYE_A0039	1350		
CDS	with_protein	GCA_000020985.1	Primary Assembly	chromosome		CP001147.1	42653	44002	-	ACI21124.1			acetoacetate metabolism regulatory protein AtoC			THEYE_A0039	1350	449	
gene	protein_coding	GCA_000020985.1	Primary Assembly	chromosome		CP001147.1	43999	46695	-							THEYE_A0040	2697		
CDS	with_protein	GCA_000020985.1	Primary Assembly	chromosome		CP001147.1	43999	46695	-	ACI22141.1			acetyl-CoA synthetase			THEYE_A0040	2697	898	
gene	protein_coding	GCA_000020985.1	Primary Assembly	chromosome		CP001147.1	46682	49162	-					gyrA		THEYE_A0041	2481		
CDS	with_protein	GCA_000020985.1	Primary Assembly	chromosome		CP001147.1	46682	49162	-	ACI20689.1			DNA gyrase, A subunit	gyrA		THEYE_A0041	2481	826	
gene	protein_coding	GCA_000020985.1	Primary Assembly	chromosome		CP001147.1	49229	49429	-							THEYE_A0042	201		
CDS	with_protein	GCA_000020985.1	Primary Assembly	chromosome		CP001147.1	49229	49429	-	ACI21064.1			putative regulatory protein, FmdB family			THEYE_A0042	201	66	
gene	protein_coding	GCA_000020985.1	Primary Assembly	chromosome		CP001147.1	49542	50132	+							THEYE_A0043	591		
CDS	with_protein	GCA_000020985.1	Primary Assembly	chromosome		CP001147.1	49542	50132	+	ACI21916.1			conserved hypothetical protein			THEYE_A0043	591	196	
gene	protein_coding	GCA_000020985.1	Primary Assembly	chromosome		CP001147.1	50134	50901	+							THEYE_A0044	768		
CDS	with_protein	GCA_000020985.1	Primary Assembly	chromosome		CP001147.1	50134	50901	+	ACI20300.1			conserved hypothetical protein			THEYE_A0044	768	255	
gene	protein_coding	GCA_000020985.1	Primary Assembly	chromosome		CP001147.1	50898	51551	+							THEYE_A0045	654		
CDS	with_protein	GCA_000020985.1	Primary Assembly	chromosome		CP001147.1	50898	51551	+	ACI21216.1			conserved hypothetical protein			THEYE_A0045	654	217	
gene	protein_coding	GCA_000020985.1	Primary Assembly	chromosome		CP001147.1	51551	52906	+					glmM		THEYE_A0046	1356		
CDS	with_protein	GCA_000020985.1	Primary Assembly	chromosome		CP001147.1	51551	52906	+	ACI22107.1			phosphoglucosamine mutase	glmM		THEYE_A0046	1356	451	
gene	protein_coding	GCA_000020985.1	Primary Assembly	chromosome		CP001147.1	52928	53602	-							THEYE_A0047	675		
CDS	with_protein	GCA_000020985.1	Primary Assembly	chromosome		CP001147.1	52928	53602	-	ACI20728.1			phosphate import ATP-binding protein PstB 1			THEYE_A0047	675	224	
gene	protein_coding	GCA_000020985.1	Primary Assembly	chromosome		CP001147.1	53593	54306	-							THEYE_A0048	714		
CDS	with_protein	GCA_000020985.1	Primary Assembly	chromosome		CP001147.1	53593	54306	-	ACI21897.1			permease component of tungstate ABC transporter			THEYE_A0048	714	237	
gene	protein_coding	GCA_000020985.1	Primary Assembly	chromosome		CP001147.1	54310	55116	-							THEYE_A0049	807		
CDS	with_protein	GCA_000020985.1	Primary Assembly	chromosome		CP001147.1	54310	55116	-	ACI20494.1			extracellular tungstate binding protein			THEYE_A0049	807	268	
gene	protein_coding	GCA_000020985.1	Primary Assembly	chromosome		CP001147.1	55404	55808	-							THEYE_A0050	405		
CDS	with_protein	GCA_000020985.1	Primary Assembly	chromosome		CP001147.1	55404	55808	-	ACI21618.1			molybdenum transport regulatory protein ModE			THEYE_A0050	405	134	
gene	protein_coding	GCA_000020985.1	Primary Assembly	chromosome		CP001147.1	55914	56270	-							THEYE_A0051	357		
CDS	with_protein	GCA_000020985.1	Primary Assembly	chromosome		CP001147.1	55914	56270	-	ACI20224.1			protein of unknown function			THEYE_A0051	357	118	
gene	protein_coding	GCA_000020985.1	Primary Assembly	chromosome		CP001147.1	56270	57106	-							THEYE_A0052	837		
CDS	with_protein	GCA_000020985.1	Primary Assembly	chromosome		CP001147.1	56270	57106	-	ACI21217.1			membrane protein			THEYE_A0052	837	278	
gene	protein_coding	GCA_000020985.1	Primary Assembly	chromosome		CP001147.1	57226	58032	+							THEYE_A0053	807		
CDS	with_protein	GCA_000020985.1	Primary Assembly	chromosome		CP001147.1	57226	58032	+	ACI20599.1			conserved hypothetical protein			THEYE_A0053	807	268	
gene	protein_coding	GCA_000020985.1	Primary Assembly	chromosome		CP001147.1	57998	58882	+					xerD		THEYE_A0054	885		
CDS	with_protein	GCA_000020985.1	Primary Assembly	chromosome		CP001147.1	57998	58882	+	ACI21523.1			tyrosine recombinase XerD	xerD		THEYE_A0054	885	294	
gene	protein_coding	GCA_000020985.1	Primary Assembly	chromosome		CP001147.1	58905	59024	+							THEYE_A0055	120		
CDS	with_protein	GCA_000020985.1	Primary Assembly	chromosome		CP001147.1	58905	59024	+	ACI20634.1			hypothetical protein			THEYE_A0055	120	39	
gene	protein_coding	GCA_000020985.1	Primary Assembly	chromosome		CP001147.1	59109	59867	+							THEYE_A0056	759		
CDS	with_protein	GCA_000020985.1	Primary Assembly	chromosome		CP001147.1	59109	59867	+	ACI21326.1			conjugative transfer: surface exclusion			THEYE_A0056	759	252	
gene	protein_coding	GCA_000020985.1	Primary Assembly	chromosome		CP001147.1	59998	60714	+							THEYE_A0057	717		
CDS	with_protein	GCA_000020985.1	Primary Assembly	chromosome		CP001147.1	59998	60714	+	ACI20370.1			hypothetical protein			THEYE_A0057	717	238	
gene	protein_coding	GCA_000020985.1	Primary Assembly	chromosome		CP001147.1	60750	61820	-							THEYE_A0059	1071		
CDS	with_protein	GCA_000020985.1	Primary Assembly	chromosome		CP001147.1	60750	61820	-	ACI20731.1			CRISPR-associated protein, NE0113 family			THEYE_A0059	1071	356	
gene	protein_coding	GCA_000020985.1	Primary Assembly	chromosome		CP001147.1	61809	61922	+							THEYE_A0058	114		
CDS	with_protein	GCA_000020985.1	Primary Assembly	chromosome		CP001147.1	61809	61922	+	ACI22188.1			hypothetical protein			THEYE_A0058	114	37	
gene	protein_coding	GCA_000020985.1	Primary Assembly	chromosome		CP001147.1	62669	64978	+					csm1_1		THEYE_A0060	2310		
CDS	with_protein	GCA_000020985.1	Primary Assembly	chromosome		CP001147.1	62669	64978	+	ACI20445.1			CRISPR-associated protein, Csm1 family	csm1_1		THEYE_A0060	2310	769	
gene	protein_coding	GCA_000020985.1	Primary Assembly	chromosome		CP001147.1	64971	65420	+					csm2_1		THEYE_A0061	450		
CDS	with_protein	GCA_000020985.1	Primary Assembly	chromosome		CP001147.1	64971	65420	+	ACI21927.1			CRISPR-associated protein, Csm2 family	csm2_1		THEYE_A0061	450	149	
gene	protein_coding	GCA_000020985.1	Primary Assembly	chromosome		CP001147.1	65420	66205	+					csm3_1		THEYE_A0062	786		
CDS	with_protein	GCA_000020985.1	Primary Assembly	chromosome		CP001147.1	65420	66205	+	ACI20619.1			CRISPR-associated RAMP protein, Csm3 family	csm3_1		THEYE_A0062	786	261	
gene	protein_coding	GCA_000020985.1	Primary Assembly	chromosome		CP001147.1	66218	67201	+					csm4		THEYE_A0063	984		
CDS	with_protein	GCA_000020985.1	Primary Assembly	chromosome		CP001147.1	66218	67201	+	ACI21834.1			CRISPR-associated RAMP protein, Csm4 family	csm4		THEYE_A0063	984	327	
gene	protein_coding	GCA_000020985.1	Primary Assembly	chromosome		CP001147.1	67206	68357	+					csm5_1		THEYE_A0064	1152		
CDS	with_protein	GCA_000020985.1	Primary Assembly	chromosome		CP001147.1	67206	68357	+	ACI22134.1			CRISPR-associated RAMP protein, Csm5 family	csm5_1		THEYE_A0064	1152	383	
gene	protein_coding	GCA_000020985.1	Primary Assembly	chromosome		CP001147.1	68361	69107	+							THEYE_A0065	747		
CDS	with_protein	GCA_000020985.1	Primary Assembly	chromosome		CP001147.1	68361	69107	+	ACI20589.1			hypothetical protein			THEYE_A0065	747	248	
gene	protein_coding	GCA_000020985.1	Primary Assembly	chromosome		CP001147.1	69137	70288	+							THEYE_A0066	1152		
CDS	with_protein	GCA_000020985.1	Primary Assembly	chromosome		CP001147.1	69137	70288	+	ACI21257.1			hypothetical protein			THEYE_A0066	1152	383	
gene	protein_coding	GCA_000020985.1	Primary Assembly	chromosome		CP001147.1	70291	70539	+							THEYE_A0067	249		
CDS	with_protein	GCA_000020985.1	Primary Assembly	chromosome		CP001147.1	70291	70539	+	ACI21809.1			hypothetical protein			THEYE_A0067	249	82	
gene	protein_coding	GCA_000020985.1	Primary Assembly	chromosome		CP001147.1	70542	71480	+					cas6_1		THEYE_A0068	939		
CDS	with_protein	GCA_000020985.1	Primary Assembly	chromosome		CP001147.1	70542	71480	+	ACI20913.1			CRISPR-associated protein Cas6	cas6_1		THEYE_A0068	939	312	
gene	protein_coding	GCA_000020985.1	Primary Assembly	chromosome		CP001147.1	71533	73782	+							THEYE_A0069	2250		
CDS	with_protein	GCA_000020985.1	Primary Assembly	chromosome		CP001147.1	71533	73782	+	ACI22041.1			DNA internalization-related competence protein ComEC/Rec2			THEYE_A0069	2250	749	
gene	protein_coding	GCA_000020985.1	Primary Assembly	chromosome		CP001147.1	73792	74403	+					hisH		THEYE_A0070	612		
CDS	with_protein	GCA_000020985.1	Primary Assembly	chromosome		CP001147.1	73792	74403	+	ACI21109.1			imidazole glycerol phosphate synthase, glutamine amidotransferase subunit	hisH		THEYE_A0070	612	203	
gene	protein_coding	GCA_000020985.1	Primary Assembly	chromosome		CP001147.1	74400	76271	+					selB		THEYE_A0071	1872		
CDS	with_protein	GCA_000020985.1	Primary Assembly	chromosome		CP001147.1	74400	76271	+	ACI21325.1			selenocysteine-specific translation elongation factor	selB		THEYE_A0071	1872	623	
gene	protein_coding	GCA_000020985.1	Primary Assembly	chromosome		CP001147.1	76273	77703	+							THEYE_A0072	1431		
CDS	with_protein	GCA_000020985.1	Primary Assembly	chromosome		CP001147.1	76273	77703	+	ACI20407.1			MucD			THEYE_A0072	1431	476	
gene	protein_coding	GCA_000020985.1	Primary Assembly	chromosome		CP001147.1	77790	78704	+							THEYE_A0073	915		
CDS	with_protein	GCA_000020985.1	Primary Assembly	chromosome		CP001147.1	77790	78704	+	ACI21983.1			pili retraction protein PilT			THEYE_A0073	915	304	
